Semester,Week,Date,WeekDay,Session Title,Player Name,Split Name,Tags,NewTags,Split Start Time,Split End Time,Duration,Distance (miles),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (miles),Distance in Speed Zone 2  (miles),Distance in Speed Zone 3  (miles),Distance in Speed Zone 4  (miles),Distance in Speed Zone 5  (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (miles),Distance in Deceleration Zones: 1 - 2 m/s/s  (miles),Distance in Deceleration Zones: 2 - 3 m/s/s  (miles),Distance in Deceleration Zones: 3 - 4 m/s/s  (miles),Distance in Deceleration Zones: > 4 m/s/s  (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (miles),Distance in Acceleration Zones: 1 - 2 m/s/s  (miles),Distance in Acceleration Zones: 2 - 3 m/s/s  (miles),Distance in Acceleration Zones: 3 - 4 m/s/s  (miles),Distance in Acceleration Zones: > 4 m/s/s  (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (miles),Distance in Power Zone: 5 - 10 w/kg  (miles),Distance in Power Zone: 10 - 15 w/kg  (miles),Distance in Power Zone: 15 - 20 w/kg  (miles),Distance in Power Zone: 20 - 25 w/kg  (miles),Distance in Power Zone: 25 - 30 w/kg  (miles),Distance in Power Zone: 30 - 35 w/kg  (miles),Distance in Power Zone: 35 - 40 w/kg  (miles),Distance in Power Zone: 40 - 45 w/kg  (miles),Distance in Power Zone: 45 - 50 w/kg  (miles),Distance in Power Zone: > 50 w/kg  (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
1,2,44804,3,vs. Rutgers,Pla,3Q,game,game,44804.70725,44804.72079,1171,1.1544,74.295,10,214.1159,0,0.0,0.0,73.3092,6.2734,95.1953,7.2888,43.9774,0,5.1371,4.7911,0.8009,0.2493,0.0581,0.0346,0.0116,1024.6,113.4,19.5,10.1,3.0,4,0,0,0,0,0,7,3,0,0,0.4672,0.0759,0.0231,0.0077,0.0023,472.2,58.0,13.6,3.7,1.1,0.4813,0.0779,0.0158,0.003,0.0004,546.4,59.9,12.5,2.9,0.3,0.1945,0.432,0.2427,0.1352,0.0735,0.0352,0.0189,0.0083,0.008,0.0024,0.0036,480.6,427.8,140.9,62.7,29.1,13.4,7.1,3.4,2.9,1.1,1.6,0.0,0.0,0.0,0.0,0.0,0,49,23,10,2,0,45,25,9,5
1,2,44804,3,vs. Rutgers,Ferriolo,3Q,game,game,44804.70725,44804.72079,1171,0.0337,0.0,0,5.3488,0,0.0,0.0,5.7117,2.0178,2.7763,0.1821,0.7347,0,0.0,0.0,0.0337,0.0,0.0,0.0,0.0,1170.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.018,0.0004,0.0,0.0,0.0,139.4,1.1,0.0,0.0,0.0,0.0148,0.0004,0.0,0.0,0.0,1028.5,1.6,0.0,0.0,0.0,0.0209,0.0124,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.8,12.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
1,2,44804,3,vs. Rutgers,Rodrigo,3Q,game,game,44804.70725,44804.72079,1171,1.1998,27.408,8,222.0695,0,0.0,0.0,93.7581,5.6045,98.9366,7.5601,46.8347,0,4.2978,3.4963,0.7743,0.3224,0.0861,0.017,0.0,991.0,145.2,29.2,5.1,0.0,51,0,0,0,0,0,3,1,4,0,0.4985,0.0865,0.0256,0.0049,0.0001,482.1,60.4,16.7,3.3,0.1,0.4756,0.0943,0.0137,0.0005,0.0,519.6,75.0,12.7,0.6,0.0,0.1691,0.362,0.3254,0.1983,0.0961,0.0277,0.012,0.0054,0.0023,0.0017,0.0,491.0,339.7,189.6,89.6,39.7,11.9,5.1,2.3,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,57,36,4,0,0,54,27,12,1
1,2,44804,3,vs. Rutgers,Medico,3Q,game,game,44804.70725,44804.72079,1171,0.0256,0.0,0,4.0669,0,0.0,0.0,2.3867,1.5489,2.1144,0.1385,0.2307,0,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,1170.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0134,0.0002,0.0,0.0,0.0,48.7,0.2,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,1121.2,0.4,0.0,0.0,0.0,0.0139,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.9,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,2,44804,3,vs. Rutgers,Burns,3Q,game,game,44804.70725,44804.72079,1171,0.0313,0.0,0,5.0357,0,0.0,0.0,3.0896,2.3489,2.5782,0.1714,1.1277,0,0.0,0.0,0.0313,0.0,0.0,0.0,0.0,1170.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0167,0.0002,0.0,0.0,0.0,62.9,0.9,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,1106.1,0.6,0.0,0.0,0.0,0.0121,0.018,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.5,17.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,2,44804,3,vs. Rutgers,Wasyliw,3Q,game,game,44804.70725,44804.72079,1170,0.0424,0.0,0,2.6383,0,0.0,0.0,8.2505,1.8156,3.5005,0.2329,0.6237,0,0.0,0.0,0.0424,0.0,0.0,0.0,0.0,1170.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0212,0.001,0.0003,0.0002,0.0,190.4,2.2,0.4,0.2,0.0,0.0189,0.0008,0.0,0.0,0.0,974.5,2.7,0.0,0.0,0.0,0.0266,0.0157,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1153.2,17.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0
1,2,44808,7,vs LIU,Wasyliw,3Q,game,game,44808.54066,44808.553,1067,0.0255,0.0,0,1.6503,0,0.0,0.0,7.7355,3.0934,2.3092,0.1599,0.6939,0,2.1899,0.0,0.0245,0.001,0.0,0.0,0.0,1066.0,0.5,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0.0136,0.0012,0.0001,0.0,0.0,189.5,1.4,0.1,0.0,0.0,0.0088,0.0018,0.0,0.0,0.0,872.3,3.2,0.0,0.0,0.0,0.0141,0.0068,0.0038,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.5,7.1,2.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,1,0,0
1,2,44808,7,vs LIU,Burns,3Q,game,game,44808.54066,44808.553,1067,0.0028,0.0,0,0.4253,0,0.0,0.0,0.9957,0.5511,0.2495,0.0159,0.0,0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,1066.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0001,0.0,0.0,0.0,25.1,0.4,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,1040.9,0.1,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,2,44808,7,vs LIU,Pla,3Q,game,game,44808.54066,44808.553,1067,1.0033,56.646,8,184.196,0,0.0,0.0,64.3712,5.9112,90.7968,6.8823,36.0431,0,6.0,4.1334,0.6857,0.2354,0.047,0.0341,0.0011,932.6,107.7,15.9,10.0,0.3,6,0,0,0,0,0,5,1,1,1,0.4183,0.0683,0.0126,0.0078,0.0018,459.1,52.3,9.3,4.7,0.9,0.4103,0.0716,0.0101,0.0024,0.0001,469.7,58.9,8.7,2.7,0.2,0.2365,0.3139,0.2049,0.1244,0.0804,0.0222,0.0143,0.0035,0.0017,0.0008,0.0009,519.9,321.4,116.9,57.5,32.2,9.3,6.1,1.5,0.8,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0,45,20,7,1,0,31,25,7,6
1,2,44808,7,vs LIU,Rodrigo,3Q,game,game,44808.54066,44808.553,1067,0.8959,71.06,10,167.1184,0,0.0,0.0,72.439,6.0889,81.075,6.2442,34.5898,0,6.0,4.2148,0.5526,0.2299,0.0692,0.0385,0.0057,926.8,103.8,23.2,11.2,1.5,25,0,0,0,0,0,5,3,2,0,0.3445,0.0646,0.016,0.0054,0.0031,448.6,49.0,10.4,2.9,1.6,0.3858,0.0647,0.0091,0.0023,0.0004,492.4,50.8,7.8,2.5,0.5,0.16,0.2487,0.2007,0.1403,0.0882,0.0321,0.0151,0.0049,0.0044,0.0005,0.0009,586.5,245.5,115.5,63.1,33.2,11.9,5.9,2.2,1.9,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0,42,13,7,3,0,35,18,6,5
