score_name,RandomForestClassifier,KNeighborsClassifier,SVC,Perceptron,GaussianNB
accuracy,86.35,86.08,85.82,58.35,77.88
precision_macro,85.27,85.89,86.07,55.28,79.45
recall_macro,84.8,84.04,83.38,54.62,73.11
