score_name,RandomForestClassifier,KNeighborsClassifier,SVC,Perceptron,GaussianNB
accuracy,90.41,88.69,88.96,77.88,82.53
precision_macro,89.76,87.53,90.07,76.69,80.66
recall_macro,86.51,84.02,82.16,69.32,75.02
