score_name,RandomForestClassifier,KNeighborsClassifier,SVC,Perceptron,GaussianNB
accuracy,79.73,78.12,83.09,70.87,59.33
precision_macro,59.21,57.71,59.46,47.81,64.26
recall_macro,55.71,56.78,54.8,50.79,67.98
