Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (miles),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (m/s),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (miles),Distance in Speed Zone 2  (miles),Distance in Speed Zone 3  (miles),Distance in Speed Zone 4  (miles),Distance in Speed Zone 5  (miles),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (miles),Distance in Deceleration Zones: 1 - 2 m/s/s  (miles),Distance in Deceleration Zones: 2 - 3 m/s/s  (miles),Distance in Deceleration Zones: 3 - 4 m/s/s  (miles),Distance in Deceleration Zones: > 4 m/s/s  (miles),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (miles),Distance in Acceleration Zones: 1 - 2 m/s/s  (miles),Distance in Acceleration Zones: 2 - 3 m/s/s  (miles),Distance in Acceleration Zones: 3 - 4 m/s/s  (miles),Distance in Acceleration Zones: > 4 m/s/s  (miles),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (miles),Distance in Power Zone: 5 - 10 w/kg  (miles),Distance in Power Zone: 10 - 15 w/kg  (miles),Distance in Power Zone: 15 - 20 w/kg  (miles),Distance in Power Zone: 20 - 25 w/kg  (miles),Distance in Power Zone: 25 - 30 w/kg  (miles),Distance in Power Zone: 30 - 35 w/kg  (miles),Distance in Power Zone: 35 - 40 w/kg  (miles),Distance in Power Zone: 40 - 45 w/kg  (miles),Distance in Power Zone: 45 - 50 w/kg  (miles),Distance in Power Zone: > 50 w/kg  (miles),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
44797,Aug 24th Practice,Ferriolo,all,training,44797.64938,44797.75187,8855,3.7065,151.038,18,691.5709,0,0,0,290.2226,6.5378,40.4183,3.1121,14.3951,0,5.9645,4.9926,2.8031,0.6695,0.1401,0.0725,0.0213,8478.9,302.3,47.3,21.2,5.4,74,0,0,0,0,0,7,10,1,0,1.5221,0.2766,0.0921,0.0253,0.0119,2736.2,233.9,58.9,15.2,6.5,1.425,0.2739,0.0661,0.0122,0.0012,5476.9,254.8,58.8,12.8,1.1,1.222,1.0101,0.6788,0.3871,0.2024,0.1012,0.0487,0.0278,0.0136,0.0088,0.006,7087,999.7,408.2,183.7,87,43.1,20.7,12.1,6.4,4,3.2,0,0,0,0,0,0,157,115,43,6,0,130,98,42,23
44798,Bryant Practice,Ferriolo,all,training,44798.63373,44798.73429,8688,2.4098,40.579,4,436.8454,0,0,0,201.5829,5.9023,26.7833,2.0037,8.7261,0,5.2089,4.0768,2.0859,0.2748,0.0239,0.0248,0.0004,8544.8,127.6,8,7.2,0.1,18,0,0,0,0,0,2,2,0,0,1.0162,0.1811,0.0523,0.0115,0.0025,2470.8,180.9,38.5,7.7,1.4,0.9455,0.16,0.0355,0.0048,0.0003,5757.2,190.3,35.4,5.2,0.3,0.9747,0.7308,0.4251,0.1461,0.0673,0.0274,0.0202,0.0121,0.0036,0.0012,0.0013,7553.9,728.8,261.6,78.7,32.7,13.5,9.5,6,1.9,0.5,0.6,0,0,0,0,0,0,109,74,21,1,0,108,70,28,7
44797,Aug 24th Practice,Medico,all,training,44797.64908,44797.75206,8898,3.3163,92.637,17,618.6637,0,0,0,267.0424,6.6912,35.9885,2.7705,13.6633,0,4.9926,5.1074,2.5523,0.5828,0.1237,0.0521,0.0055,8577.7,261.8,42.1,15.3,1.4,20,0,0,0,0,0,11,5,0,1,1.3718,0.2842,0.0708,0.0188,0.0033,2485.1,235.7,47.5,11.1,2.1,1.2488,0.2494,0.0536,0.0147,0.001,5803.2,247.2,50.5,14.6,1.3,1.0231,1.0105,0.6264,0.35,0.1526,0.0668,0.0356,0.0221,0.0121,0.0072,0.0099,7230.4,986,381.6,165.6,65.1,29.6,16,10,5.4,3.5,5.1,0,0,0,0,0,0,199,95,33,6,0,164,89,31,10
44798,Bryant Practice,Medico,all,training,44798.63412,44798.73609,8810,3.1653,97.076,29,591.5665,0,0,0,239.6833,6.0889,34.6925,2.6756,13.0722,0,4.9371,5.4845,2.5717,0.4209,0.1123,0.0576,0.0027,8564.2,190.7,37.7,17,0.7,5,0,0,0,0,0,27,2,0,0,1.3544,0.2256,0.0778,0.0296,0.0093,2618,203.4,51.1,16,5.1,1.1814,0.2007,0.0643,0.0197,0.0026,5615.9,223.2,55.9,18.3,3.4,1.0272,1.1014,0.509,0.2301,0.133,0.0492,0.0325,0.0302,0.0233,0.0134,0.0159,7174,1080.7,313.5,111.5,55,22.2,14.9,13.4,10.8,6.1,8.2,0,0,0,0,0,0,133,66,35,13,0,94,67,25,18
44797,Aug 24th Practice,Rodrigo,all,training,44797.64975,44797.75353,8966,3.2488,93.882,19,590.6845,0,0,0,284.7112,6.0356,34.989,2.6251,11.1449,0,5.3519,4.9455,2.5915,0.4804,0.1186,0.0557,0.0026,8693.9,215.5,39.9,16.4,0.7,100,0,0,0,0,0,14,4,0,1,1.3786,0.2574,0.0586,0.0093,0.0027,2646.2,210.1,39.3,5.8,1.6,1.2808,0.2118,0.0405,0.0085,0.0008,5800.9,214.1,38.2,9.2,1,1.34,0.8468,0.4772,0.2888,0.1624,0.068,0.0391,0.014,0.0073,0.0021,0.0032,7572.1,840.3,290.2,136.2,67.4,30.1,16.8,6.9,3.5,1,1.9,0,0,0,0,0,0,147,71,22,5,0,135,82,16,7
44799,Vs. Bryant,Rodrigo,all,game,44799.79694,44799.91016,9782,5.0949,158.765,28,925.3143,1,0,0,422.8156,6.5823,50.2928,3.7693,20.0926,0,5.6089,4.5111,3.6723,1.1348,0.1892,0.0755,0.0231,9176.9,513.4,64,22,5.9,117,1,0,0,0,0,17,7,2,2,2.1683,0.3454,0.0829,0.0193,0.0054,3193.3,274.4,55.3,11.9,2.9,2.1013,0.3038,0.0542,0.0125,0.0018,5892.9,283.9,51.6,13.6,2.4,1.3313,1.4939,1.1608,0.6346,0.2707,0.1105,0.0454,0.0223,0.0124,0.0046,0.0082,7154.2,1465.4,670,293.8,113.2,45.1,19,9.8,5.1,2.4,4.2,0,0,0,0,0,0,214,87,29,5,0,187,119,28,10
44798,Bryant Practice,Rodrigo,all,training,44798.63513,44798.73979,9042,2.4322,20.217,4,415.7145,0,0,0,224.535,5.5778,25.9741,1.832,6.4708,0,5.293,4.2505,2.2758,0.1204,0.0234,0.0126,0,8974.7,56,7.8,3.7,0,30,0,0,0,0,0,2,2,0,0,1.1427,0.1177,0.0222,0.0049,0.0013,3387.9,131.3,17.8,2.8,0.7,1.0271,0.0998,0.0141,0.0022,0.0002,5336,146.1,16.6,2.6,0.4,1.3418,0.7033,0.2439,0.0708,0.0377,0.0181,0.0076,0.0058,0.0021,0.0009,0.0003,8116.1,700.1,154.7,37.9,17.3,8.5,3.5,2.6,0.9,0.4,0.2,0,0,0,0,0,0,94,26,8,1,0,61,36,7,2
44797,Aug 24th Practice,Doyle,all,training,44797.64882,44797.75113,8839,4.4051,65.188,22,809.7144,0,0,0,344.3835,6.2867,48.1228,3.6503,19.7133,0,5.1394,4.4371,3.0294,1.1791,0.1561,0.0343,0.0062,8242.4,531.8,53.4,10,1.6,19,0,0,0,0,0,16,6,0,0,1.868,0.3134,0.089,0.0169,0.0035,2734.7,256.7,60,10.1,2.3,1.7275,0.3185,0.0594,0.0084,0.0005,5427,283.4,56.2,8.3,0.5,1.1035,1.1346,1.1371,0.6363,0.2266,0.0895,0.0408,0.0187,0.0078,0.0063,0.0038,6646.3,1068.5,655.2,291.9,101.5,40.8,18.4,8,3.9,2.9,1.8,0,0,0,0,0,0,206,124,26,3,0,171,114,28,12
44798,Bryant Practice,Doyle,all,training,44798.63447,44798.73671,8834,3.1167,25.083,4,560.3163,0,0,0,265.2385,5.8756,34.0678,2.5276,11.6873,0,4.8556,4.2489,2.686,0.3889,0.0262,0.0152,0.0004,8639.9,180.1,9.1,4.3,0.1,9,0,0,0,0,0,2,2,0,0,1.3383,0.2359,0.0569,0.0078,0.0012,3036.8,245.9,41.9,5.6,0.7,1.2282,0.2031,0.0407,0.0042,0.0005,5198.6,254.3,44.7,4.6,0.4,1.2338,0.9522,0.5877,0.2097,0.0701,0.0328,0.0142,0.008,0.0046,0.0018,0.0018,7374.7,921.3,361.9,108.8,35.5,15.9,7.3,4,2.1,1,1,0,0,0,0,0,0,176,101,11,3,0,153,77,21,3
44799,Vs. Bryant,Doyle,all,game,44799.62928,44799.74284,9811,2.3879,63.123,7,437.0748,0,0,0,203.06,6.1223,23.5024,1.7752,8.7442,0,4.7798,5.0425,1.9449,0.3382,0.0656,0.0354,0.0038,9622.1,155.5,22.3,10.2,1,13,0,0,0,0,0,4,2,1,0,0.9858,0.1962,0.0461,0.0091,0.0012,1727.9,176.1,32.5,6.1,0.6,0.9524,0.1551,0.0363,0.0048,0.001,7661,164.1,36.3,5.1,1.4,0.715,0.8098,0.4905,0.2048,0.0916,0.0359,0.0171,0.0111,0.0058,0.0032,0.0033,8537,795.3,301.3,103.1,40.9,15.1,7.5,5.3,2.3,1.5,1.8,0,0,0,0,0,0,133,72,14,5,0,110,75,20,3
44799,Vs. Bryant,Doyle,all,game,44799.79695,44799.9003,8929,3.6881,246.109,23,676.3921,0,0,0,311.5932,6.6867,39.8842,3.0186,15.9837,0,4.6741,4.7371,2.4805,0.8397,0.215,0.131,0.0219,8434.4,378.3,72.6,38.1,5.7,20,0,0,0,0,0,7,13,3,0,1.584,0.2824,0.0524,0.0079,0.001,2527.9,219.7,35.1,5.9,0.5,1.4629,0.2472,0.0431,0.006,0.0012,5871.1,222,39.9,5.8,1.2,0.9419,0.8863,0.8873,0.4994,0.2616,0.1232,0.0473,0.0225,0.0065,0.0051,0.0071,7175.4,826.4,519.4,225.5,100,46.3,18.9,8.9,2.6,1.9,3.8,0,0,0,0,0,0,178,81,18,4,0,159,80,22,3
44797,Aug 24th Practice,Yanovich,all,training,44797.65482,44797.75271,8458,3.6328,60.02,22,679.0109,0,0,0,290.6156,5.8667,41.4742,3.1991,17.4478,0,4.8134,5.2,2.5751,0.8938,0.1266,0.0354,0.0019,7995.7,408.5,42.7,10.4,0.5,36,0,0,0,0,0,16,4,2,0,1.5639,0.2811,0.0726,0.0165,0.0015,2372.6,229,46.1,9.9,0.9,1.3443,0.2795,0.0604,0.0114,0.0017,5476.7,256.1,53.6,11.1,1.8,0.8636,1.0279,0.938,0.4572,0.1762,0.0791,0.0407,0.0224,0.0142,0.0049,0.0087,6560.1,980.4,543.9,216,78.5,36.1,18.9,10.7,6.5,2.1,4.6,0,0,0,0,0,0,164,117,32,11,0,147,93,40,5
44799,Vs. Bryant,Yanovich,all,game,44799.6293,44799.74331,9851,2.1996,124.182,10,403.5826,0,0,0,176.5275,7.1023,21.5611,1.6328,7.7131,0,5.6593,5.1112,1.7204,0.3265,0.0756,0.0379,0.0393,9656,148.7,25.4,11.2,9.5,8,0,0,0,0,0,5,3,1,1,0.9689,0.1641,0.0366,0.0104,0.0052,1879.8,150.9,26.4,6.2,2.7,0.8338,0.1358,0.0333,0.0105,0.0011,7585.4,151.7,34.7,11.7,1.3,0.6885,0.7442,0.3507,0.1809,0.1047,0.0629,0.035,0.0155,0.0102,0.0041,0.0028,8701.4,755,210.7,87,44.4,23.5,13.6,7,4.2,2.2,1.8,0,0,0,0,0,0,104,49,28,7,0,93,52,14,9
44799,Vs. Bryant @ PC,Yanovich,all,game,44799.79695,44799.91013,9779,3.6089,207.833,28,674.0221,0,0,0,300.1159,5.9756,35.6356,2.7467,13.7423,0,5.1798,4.8,2.1861,1.0263,0.2673,0.1215,0.0077,9194.6,456.3,90.1,35.6,2,45,0,0,0,0,0,11,9,6,2,1.5322,0.2765,0.0695,0.0139,0.0041,2596.6,213.5,46.6,8.3,2.3,1.3916,0.2498,0.0577,0.0119,0.0017,6618.5,224.7,53.1,12.5,2.5,0.8957,0.7914,0.7569,0.6082,0.3246,0.133,0.0513,0.0248,0.01,0.0052,0.0077,8088.9,768.9,427.6,268.7,127.3,52.6,21.8,11.3,4.7,2.7,4.1,0,0,0,0,0,0,133,87,35,7,0,120,89,23,11
44801,Vs. Merrimack,Yanovich,all,game,44801.47146,44801.58683,9969,3.102,117.575,20,592.1178,0,0,0,254.5436,6.4845,30.0464,2.3669,12.5825,98,5.9689,5.0534,2.1249,0.7258,0.1783,0.0616,0.0114,9561.1,326.3,60.2,18.1,2.9,17,0,0,0,0,0,9,10,1,0,1.264,0.2777,0.0683,0.0227,0.0084,2113.5,234.5,46,14.2,4.5,1.1263,0.2577,0.0624,0.0114,0.003,7232.5,250.4,56.7,13.4,2.9,0.712,0.8536,0.6996,0.4241,0.2157,0.1025,0.0447,0.024,0.0118,0.0059,0.0081,8360,820.2,413.3,197.3,91.3,43.5,19.5,10.6,5.6,2.8,4.5,9968.6,0,0,0,0,0,128,109,37,11,0,144,86,39,17
